Evaluation track,Language code,Language,XLM-R macro-F1,SERENGETI macro-F1,Backbone effect (SERENGETI minus XLM-R),Published Track A best macro-F1,Published Track C best macro-F1,Published best macro-F1 for this row's track,XLM-R gap to same-track published best,SERENGETI gap to same-track published best,Published benchmark source
Track A,ENG,English,0.5523,0.646,0.0937,0.823,0.797,0.823,-0.2707,-0.177,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,HIN,Hindi,0.855,0.5235,-0.3315,0.926,0.919,0.926,-0.071,-0.4025,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,RUS,Russian,0.8791,0.832,-0.0471,0.901,0.906,0.901,-0.0219,-0.069,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,HAU,Hausa,0.6326,0.6966,0.064,0.751,0.709,0.751,-0.1184,-0.0544,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,KIN,Kinyarwanda,0.3928,0.5427,0.1499,0.657,0.519,0.657,-0.2642,-0.1143,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,SUN,Sundanese,0.2026,0.336,0.1334,0.55,0.467,0.55,-0.3474,-0.214,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,YOR,Yoruba,0.1267,0.4061,0.2794,0.461,0.359,0.461,-0.3343,-0.0549,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,VMW,Emakhuwa,0.038,0.1658,0.1278,0.325,0.21,0.325,-0.287,-0.1592,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,PCM,Nigerian Pidgin,0.5692,0.5593,-0.0099,0.674,0.674,0.674,-0.1048,-0.1147,"SemEval-2025 Task 11, Table 5 (Track A)"
Track C,ENG,English,0.4217,0.3856,-0.0361,0.823,0.797,0.797,-0.3753,-0.4114,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,HIN,Hindi,0.7359,0.0776,-0.6583,0.926,0.919,0.919,-0.1831,-0.8414,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,RUS,Russian,0.6601,0.4665,-0.1936,0.901,0.906,0.906,-0.2459,-0.4395,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,HAU,Hausa,0.1426,0.4406,0.298,0.751,0.709,0.709,-0.5664,-0.2684,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,KIN,Kinyarwanda,0.0967,0.3965,0.2998,0.657,0.519,0.519,-0.4223,-0.1225,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,SUN,Sundanese,0.3355,0.2112,-0.1243,0.55,0.467,0.467,-0.1315,-0.2558,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,YOR,Yoruba,0.0912,0.2447,0.1535,0.461,0.359,0.359,-0.2678,-0.1143,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,VMW,Emakhuwa,0.044,0.1228,0.0788,0.325,0.21,0.21,-0.166,-0.0872,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,PCM,Nigerian Pidgin,0.3487,0.3353,-0.0134,0.674,0.674,0.674,-0.3253,-0.3387,"SemEval-2025 Task 11, Table 7 (Track C)"
